task_id,attempts,successes,failures,group
0,3,2,1,mixed
1,3,1,2,mixed
2,3,0,3,stable_failure
3,3,0,3,stable_failure
4,3,0,3,stable_failure
7,3,1,2,mixed
14,3,2,1,mixed
15,3,3,0,stable_success
16,3,1,2,mixed
19,3,1,2,mixed
20,3,0,3,stable_failure
27,3,0,3,stable_failure
28,3,0,3,stable_failure
33,3,1,2,mixed
34,3,0,3,stable_failure
36,3,1,2,mixed
41,3,0,3,stable_failure
43,3,2,1,mixed
56,3,2,1,mixed
71,3,0,3,stable_failure
79,3,2,1,mixed
95,3,1,2,mixed
98,3,0,3,stable_failure
99,3,1,2,mixed
103,3,0,3,stable_failure
104,3,0,3,stable_failure
109,3,0,3,stable_failure
110,3,0,3,stable_failure
111,3,0,3,stable_failure
112,3,1,2,mixed
