condition_a,condition_b,paired_attempts,condition_a_successes,condition_b_successes,a_beats_b,b_beats_a,ties_success,ties_failure,success_delta_a_minus_b
generic_policy_card_v2,hard_mismatched_card_v2,35,8,5,7,4,1,23,0.0857
generic_policy_card_v2,no_memory,35,8,7,7,6,1,21,0.0286
generic_policy_card_v2,oracle_single_missing_check_card_v1,35,8,14,4,10,4,17,-0.1714
generic_policy_card_v2,oracle_tool_completion_card_v2,35,8,6,5,3,3,24,0.0571
hard_mismatched_card_v2,no_memory,35,5,7,3,5,2,25,-0.0571
hard_mismatched_card_v2,oracle_single_missing_check_card_v1,35,5,14,4,13,1,17,-0.2571
hard_mismatched_card_v2,oracle_tool_completion_card_v2,35,5,6,4,5,1,25,-0.0286
no_memory,oracle_single_missing_check_card_v1,35,7,14,6,13,1,15,-0.2000
no_memory,oracle_tool_completion_card_v2,35,7,6,6,5,1,23,0.0286
oracle_single_missing_check_card_v1,oracle_tool_completion_card_v2,35,14,6,11,3,3,18,0.2286
