experiment_id,task_id,seed,condition,success,final_reward,db_reward,communicate_reward,nl_assertion_reward,result_path
exp5_5a_variability_calibration,2,501,no_memory_repeat_a,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_2/condition_no_memory_repeat_a/seed_501/results.json
exp5_5a_variability_calibration,2,501,no_memory_repeat_b,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_2/condition_no_memory_repeat_b/seed_501/results.json
exp5_5a_variability_calibration,2,501,no_memory_repeat_c,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_2/condition_no_memory_repeat_c/seed_501/results.json
exp5_5a_variability_calibration,16,501,no_memory_repeat_a,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_16/condition_no_memory_repeat_a/seed_501/results.json
exp5_5a_variability_calibration,16,501,no_memory_repeat_b,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_16/condition_no_memory_repeat_b/seed_501/results.json
exp5_5a_variability_calibration,16,501,no_memory_repeat_c,0,0.0000,0.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_16/condition_no_memory_repeat_c/seed_501/results.json
exp5_5a_variability_calibration,19,501,no_memory_repeat_a,1,1.0000,1.0000,,1.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_19/condition_no_memory_repeat_a/seed_501/results.json
exp5_5a_variability_calibration,19,501,no_memory_repeat_b,1,1.0000,1.0000,,1.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_19/condition_no_memory_repeat_b/seed_501/results.json
exp5_5a_variability_calibration,19,501,no_memory_repeat_c,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_19/condition_no_memory_repeat_c/seed_501/results.json
exp5_5a_variability_calibration,54,501,no_memory_repeat_a,1,1.0000,1.0000,,1.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_54/condition_no_memory_repeat_a/seed_501/results.json
exp5_5a_variability_calibration,54,501,no_memory_repeat_b,1,1.0000,1.0000,,1.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_54/condition_no_memory_repeat_b/seed_501/results.json
exp5_5a_variability_calibration,54,501,no_memory_repeat_c,1,1.0000,1.0000,,1.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_54/condition_no_memory_repeat_c/seed_501/results.json
exp5_5a_variability_calibration,103,501,no_memory_repeat_a,0,0.0000,0.0000,,1.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_103/condition_no_memory_repeat_a/seed_501/results.json
exp5_5a_variability_calibration,103,501,no_memory_repeat_b,0,0.0000,0.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_103/condition_no_memory_repeat_b/seed_501/results.json
exp5_5a_variability_calibration,103,501,no_memory_repeat_c,0,0.0000,0.0000,,1.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5a_variability_calibration/task_103/condition_no_memory_repeat_c/seed_501/results.json
