experiment_id,task_id,seed,condition,success,final_reward,db_reward,communicate_reward,nl_assertion_reward,gate_trigger_count,gate_failure_count,gate_retry_count,gate_final_passed,result_path
exp6b_binding_pool_harvest_no_gate,16,801,no_gate,0,0.0000,0.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_16/condition_no_gate/seed_801/results.json
exp6b_binding_pool_harvest_no_gate,16,802,no_gate,0,0.0000,0.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_16/condition_no_gate/seed_802/results.json
exp6b_binding_pool_harvest_no_gate,19,801,no_gate,0,0.0000,1.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_19/condition_no_gate/seed_801/results.json
exp6b_binding_pool_harvest_no_gate,19,802,no_gate,0,0.0000,1.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_19/condition_no_gate/seed_802/results.json
exp6b_binding_pool_harvest_no_gate,21,801,no_gate,0,0.0000,0.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_21/condition_no_gate/seed_801/results.json
exp6b_binding_pool_harvest_no_gate,21,802,no_gate,1,1.0000,1.0000,,1.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_21/condition_no_gate/seed_802/results.json
exp6b_binding_pool_harvest_no_gate,24,801,no_gate,1,1.0000,1.0000,,1.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_24/condition_no_gate/seed_801/results.json
exp6b_binding_pool_harvest_no_gate,24,802,no_gate,1,1.0000,1.0000,,1.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_24/condition_no_gate/seed_802/results.json
exp6b_binding_pool_harvest_no_gate,28,801,no_gate,0,0.0000,0.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_28/condition_no_gate/seed_801/results.json
exp6b_binding_pool_harvest_no_gate,28,802,no_gate,0,0.0000,0.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_28/condition_no_gate/seed_802/results.json
exp6b_binding_pool_harvest_no_gate,29,801,no_gate,1,1.0000,1.0000,,1.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_29/condition_no_gate/seed_801/results.json
exp6b_binding_pool_harvest_no_gate,29,802,no_gate,1,1.0000,1.0000,,1.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_pool_harvest_no_gate/task_29/condition_no_gate/seed_802/results.json
