task_id,attempts,successes,failures,group
16,2,0,2,stable_failure
19,2,0,2,stable_failure
21,2,1,1,mixed
24,2,2,0,stable_success
28,2,0,2,stable_failure
29,2,2,0,stable_success
30,2,1,1,mixed
36,2,0,2,stable_failure
37,2,0,2,stable_failure
38,2,2,0,stable_success
40,2,2,0,stable_success
43,2,1,1,mixed
44,2,2,0,stable_success
46,2,2,0,stable_success
47,2,2,0,stable_success
54,2,2,0,stable_success
59,2,0,2,stable_failure
63,2,0,2,stable_failure
67,2,2,0,stable_success
68,2,2,0,stable_success
89,2,2,0,stable_success
95,2,1,1,mixed
103,2,0,2,stable_failure
104,2,0,2,stable_failure
