experiment_id,task_id,seed,condition,success,final_reward,db_reward,communicate_reward,nl_assertion_reward,gate_trigger_count,gate_failure_count,gate_retry_count,gate_final_passed,result_path
exp6b_binding_recoverability_probe,19,801,coarse_binding_gate,0,0.0000,0.0000,,1.0000,2,1,1,1,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_19/condition_coarse_binding_gate/seed_801/results.json
exp6b_binding_recoverability_probe,19,802,coarse_binding_gate,1,1.0000,1.0000,,1.0000,2,1,1,1,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_19/condition_coarse_binding_gate/seed_802/results.json
exp6b_binding_recoverability_probe,19,801,no_gate,0,0.0000,1.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_19/condition_no_gate/seed_801/results.json
exp6b_binding_recoverability_probe,19,802,no_gate,0,0.0000,1.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_19/condition_no_gate/seed_802/results.json
exp6b_binding_recoverability_probe,36,801,coarse_binding_gate,1,1.0000,1.0000,,1.0000,2,1,1,1,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_36/condition_coarse_binding_gate/seed_801/results.json
exp6b_binding_recoverability_probe,36,802,coarse_binding_gate,0,0.0000,0.0000,,1.0000,2,1,1,1,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_36/condition_coarse_binding_gate/seed_802/results.json
exp6b_binding_recoverability_probe,36,801,no_gate,0,0.0000,0.0000,,1.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_36/condition_no_gate/seed_801/results.json
exp6b_binding_recoverability_probe,36,802,no_gate,0,0.0000,0.0000,,1.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_36/condition_no_gate/seed_802/results.json
exp6b_binding_recoverability_probe,95,801,coarse_binding_gate,1,1.0000,1.0000,,1.0000,2,2,1,0,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_95/condition_coarse_binding_gate/seed_801/results.json
exp6b_binding_recoverability_probe,95,802,coarse_binding_gate,1,1.0000,1.0000,,1.0000,1,0,0,1,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_95/condition_coarse_binding_gate/seed_802/results.json
exp6b_binding_recoverability_probe,95,801,no_gate,0,0.0000,1.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_95/condition_no_gate/seed_801/results.json
exp6b_binding_recoverability_probe,95,802,no_gate,0,0.0000,0.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_95/condition_no_gate/seed_802/results.json
exp6b_binding_recoverability_probe,103,801,coarse_binding_gate,0,0.0000,0.0000,,0.0000,1,0,0,1,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_103/condition_coarse_binding_gate/seed_801/results.json
exp6b_binding_recoverability_probe,103,802,coarse_binding_gate,0,0.0000,0.0000,,0.0000,1,0,0,1,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_103/condition_coarse_binding_gate/seed_802/results.json
exp6b_binding_recoverability_probe,103,801,no_gate,0,0.0000,0.0000,,1.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_103/condition_no_gate/seed_801/results.json
exp6b_binding_recoverability_probe,103,802,no_gate,0,0.0000,0.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_103/condition_no_gate/seed_802/results.json
exp6b_binding_recoverability_probe,104,801,coarse_binding_gate,0,0.0000,1.0000,,0.0000,2,1,1,1,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_104/condition_coarse_binding_gate/seed_801/results.json
exp6b_binding_recoverability_probe,104,802,coarse_binding_gate,0,0.0000,0.0000,,0.0000,1,0,0,1,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_104/condition_coarse_binding_gate/seed_802/results.json
exp6b_binding_recoverability_probe,104,801,no_gate,1,1.0000,1.0000,,1.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_104/condition_no_gate/seed_801/results.json
exp6b_binding_recoverability_probe,104,802,no_gate,0,0.0000,0.0000,,0.0000,0,0,0,,third_party/tau2-bench/data/simulations/exp6b_binding_recoverability_probe/task_104/condition_no_gate/seed_802/results.json
